Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2018,Cocaine-type,10,9,1,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2018,ATS,4,4,,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2018,Non-specified,4,1,3,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2016,All illicit drugs,26,24,2,,26,0,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2016,Cannabis-type,20,18,2,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2016,Opioids,1,1,0,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2016,Cocaine-type,3,3,0,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2016,Other coca/cocaine type,2,2,0,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2020,All illicit drugs,9135,7121,2014,,8826,248,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2020,All illicit drugs,63268,57102,6166,,59915,2503,
Americas,South America,Chile,Offences related to drug trafficking,2020,All illicit drugs,18.664,14.394,4.27,,18.02,644,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2020,All illicit drugs,13.606,11.923,1.683,,13.101,505,
Americas,South America,Chile,Other drug-related offences,2020,All illicit drugs,3.577,2.809,768,,3.485,92,
Americas,Central America,Nicaragua,Offences related to drug trafficking,2020,All illicit drugs,705,609,96,,705,,
Americas,Central America,Nicaragua,Offences related to drug use and/or drug possession,2020,All illicit drugs,2207,1994,213,,2207,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2020,All illicit drugs,1033,964,69,,968,65,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2020,All illicit drugs,1795,1727,68,,1630,165,
Americas,Central America,El Salvador,Other drug-related offences,2020,All illicit drugs,26,24,2,,25,1,
Americas,Central America,Honduras,Offences related to drug trafficking,2020,All illicit drugs,3906,,,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2020,All illicit drugs,487,451,36,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2020,All illicit drugs,11426,9457,1969,,,,
Americas,South America,Peru,Offences related to drug trafficking,2020,All illicit drugs,2433,,,,2301,132,
Americas,Caribbean,Trinidad and Tobago,Offences related to drug trafficking,2020,All illicit drugs,418,376,42,,379,9,
Americas,Caribbean,Trinidad and Tobago,Offences related to drug use and/or drug possession,2020,All illicit drugs,938,872,66,,873,6,
Americas,Central America,Costa Rica,Offences related to drug trafficking,2020,All illicit drugs,992,855,137,,,,
Americas,South America,Brazil,Offences related to drug trafficking,2020,All illicit drugs,1645,,,,1627,,
Americas,South America,Colombia,Offences related to drug trafficking,2020,All illicit drugs,38876,34618,4258,,36988,1888,
Americas,South America,Colombia,Other drug-related offences,2020,All illicit drugs,403,385,18,,400,3,
Americas,Central America,Guatemala,Offences related to drug trafficking,2020,All illicit drugs,781,,,,767,14,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2020,All illicit drugs,2028,1821,207,,1911,117,
Americas,Caribbean,Haiti,Offences related to drug trafficking,2020,All illicit drugs,146,129,17,,,,
Americas,South America,Paraguay,Offences related to drug trafficking,2020,All illicit drugs,337,274,63,,293,11,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2020,All illicit drugs,1243,981,262,0,1235,8,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2020,All illicit drugs,64,60,4,0,61,3,
Americas,South America,Bolivia (Plurinational State of),Other drug-related offences,2020,All illicit drugs,746,564,182,0,737,9,
Americas,Central America,Panama,Offences related to drug trafficking,2020,All illicit drugs,256,134,6,116,,,
Americas,Central America,Panama,Offences related to drug use and/or drug possession,2020,All illicit drugs,2408,2088,187,133,,,
Americas,Central America,Panama,Other drug-related offences,2020,All illicit drugs,840,610,96,134,,,
Americas,South America,Uruguay,Offences related to drug trafficking,2020,All illicit drugs,107,90,18,0,105,0,
Americas,South America,Uruguay,Offences related to drug use and/or drug possession,2020,All illicit drugs,222,195,27,0,220,2,
Americas,South America,Uruguay,Other drug-related offences,2020,All illicit drugs,817,619,198,0,821,5,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2017,All illicit drugs,57188,52685,4503,,52514,2727,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2017,Cannabis-type,42322,39354,2968,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2017,Opioids,16,10,6,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2017,Cocaine-type,17449,15619,1830,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2017,ATS,802,737,65,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2017,Hallucinogens,562,517,45,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2017,All illicit drugs,10481,8067,2414,,9747,59,
Americas,South America,Argentina,Offences related to drug trafficking,2017,Cannabis-type,4970,3898,1072,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2017,Opioids,0,0,0,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2017,Cocaine-type,3682,2838,844,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2017,ATS,161,137,24,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2017,Hallucinogens,66,59,10,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2016,All illicit drugs,40762,37108,3619,,38624,2138,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2016,Cannabis-type,26502,24653,1849,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2016,Opioids,1,1,0,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2016,Cocaine-type,10549,9367,1182,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2016,ATS,401,375,26,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2016,Hallucinogens,112,103,9,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2016,All illicit drugs,8841,7457,1384,,8467,90,
Americas,South America,Argentina,Offences related to drug trafficking,2016,Cannabis-type,5836,5047,789,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2016,Cocaine-type,2878,2278,600,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2016,ATS,99,92,7,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2016,Hallucinogens,88,85,3,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2018,All illicit drugs,78037,72260,5777,,73228,3339,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2018,Cannabis-type,59268,55329,3939,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2018,Cocaine-type,20345,18437,1908,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2018,ATS,908,827,81,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2018,Hallucinogens,626,577,49,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2018,All illicit drugs,9950,7729,2221,,9605,133,
Americas,South America,Argentina,Offences related to drug trafficking,2018,Cannabis-type,5629,4426,1203,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2018,Opioids,7,7,,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2018,Cocaine-type,4423,3323,1100,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2018,ATS,76,68,8,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2018,Hallucinogens,73,63,10,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2019,All illicit drugs,125646,117277,8369,,119876,4482,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2019,Cannabis-type,98775,92753,6022,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2019,Opioids,2,0,2,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2019,Cocaine-type,27780,25390,2390,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2019,ATS,2003,1836,167,,,,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2019,Hallucinogens,985,894,91,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2019,All illicit drugs,15261,11893,3368,,14807,309,
Americas,South America,Argentina,Offences related to drug trafficking,2019,Cannabis-type,8516,6832,1684,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2019,Opioids,2,2,0,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2019,Cocaine-type,5776,4355,1421,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2019,ATS,140,112,28,,,,
Americas,South America,Argentina,Offences related to drug trafficking,2019,Hallucinogens,260,207,53,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2018,Cannabis-type,838,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2018,Cocaine-type,41,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2018,Multiple Drugs,82,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2018,Cannabis-type,605,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2018,Cocaine-type,63,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2017,Cannabis-type,838,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2017,Cocaine-type,41,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug use and/or drug possession,2017,Multiple Drugs,82,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2017,All illicit drugs,605,,,,,,
Americas,Caribbean,Bahamas,Offences related to drug trafficking,2017,Cannabis-type,63,,,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2018,All illicit drugs,1787,1564,223,,1226,561,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2018,Cannabis-type,1539,1371,168,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2018,Cocaine-type,248,193,55,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2018,All illicit drugs,1749,1412,337,,1700,49,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2018,Cannabis-type,652,561,91,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2018,Cocaine-type,1097,851,246,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2017,All illicit drugs,1494,1304,190,,1114,380,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2017,Cannabis-type,1259,1122,137,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2017,Cocaine (salt and crack),235,182,53,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2017,All illicit drugs,1759,1465,294,,1661,98,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2017,Cannabis-type,802,704,98,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2017,Cocaine (salt and crack),957,761,196,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2016,All illicit drugs,1495,1300,195,,1177,318,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2016,Cannabis-type,1152,1034,118,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2016,Cocaine-type,343,266,77,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2016,All illicit drugs,1223,955,268,,1144,79,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2016,Cannabis-type,521,446,75,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2016,Cocaine-type,702,509,193,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2019,All illicit drugs,1711,1456,255,,1291,420,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2019,Cannabis-type,1290,1137,153,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2019,Cocaine-type,421,319,102,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2019,All illicit drugs,1455,1159,296,,1399,56,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2019,Cannabis-type,512,432,80,,,,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2019,Cocaine-type,943,727,216,,,,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2016,All illicit drugs,3870,,,,,,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2017,All illicit drugs,53914,48059,3961,,39882,10719,
Americas,South America,Brazil,Offences related to drug trafficking,2017,All illicit drugs,95523,80215,11192,,68666,20706,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2018,All illicit drugs,72345,65316,5600,,60077,12268,
Americas,South America,Brazil,Offences related to drug trafficking,2018,All illicit drugs,126040,106821,14046,,100232,25808,
Americas,South America,Brazil,Offences related to drug use and/or drug possession,2019,All illicit drugs,57667,32182,3033,,29790,5355,
Americas,South America,Brazil,Offences related to drug trafficking,2019,All illicit drugs,95938,34479,6311,,32913,7348,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2017,All illicit drugs,58098,47066,11032,,49704,8394,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2017,Cannabis-type,40511,33338,7173,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2017,Opioids,2099,1584,515,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2017,Cocaine-type,6784,5452,1332,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2017,ATS,8704,6692,2012,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2017,Other miscellaneous,6885,5267,1618,,,,
Americas,North America,Canada,Offences related to drug trafficking,2017,All illicit drugs,15856,12436,3420,,14940,916,
Americas,North America,Canada,Offences related to drug trafficking,2017,Cannabis-type,4854,3989,865,,,,
Americas,North America,Canada,Offences related to drug trafficking,2017,Opioids,1393,1046,347,,,,
Americas,North America,Canada,Offences related to drug trafficking,2017,Cocaine-type,7164,5572,1592,,,,
Americas,North America,Canada,Offences related to drug trafficking,2017,ATS,2445,1829,616,,,,
Americas,North America,Canada,Offences related to drug trafficking,2017,Other miscellaneous,3734,2822,912,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2018,All illicit drugs,47334,37955,9379,,41754,5580,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2018,Cannabis-type,27717,22883,4834,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2018,Opioids,3382,2509,873,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2018,Cocaine-type,6223,4987,1236,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2018,ATS,10012,7576,2436,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2018,Non-specified,5589,4413,1176,,,,
Americas,North America,Canada,Offences related to drug trafficking,2018,All illicit drugs,15743,12222,3521,,15000,743,
Americas,North America,Canada,Offences related to drug trafficking,2018,Cannabis-type,3601,2966,635,,,,
Americas,North America,Canada,Offences related to drug trafficking,2018,Opioids,2348,1733,615,,,,
Americas,North America,Canada,Offences related to drug trafficking,2018,Cocaine-type,7095,5554,1541,,,,
Americas,North America,Canada,Offences related to drug trafficking,2018,ATS,2699,1969,730,,,,
Americas,North America,Canada,Offences related to drug trafficking,2018,Non-specified,2755,2055,700,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2016,All illicit drugs,63907,52313,11594,,54566,9341,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2016,Cannabis-type,47896,39743,8153,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2016,Opioids,1852,1393,459,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2016,Cocaine-type,6657,5407,1250,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2016,ATS,7502,5770,1732,,,,
Americas,North America,Canada,Offences related to drug use and/or drug possession,2016,Other miscellaneous,7016,5421,1595,,,,
Americas,North America,Canada,Offences related to drug trafficking,2016,All illicit drugs,16214,12968,3246,,15166,1048,
Americas,North America,Canada,Offences related to drug trafficking,2016,Cannabis-type,5353,4413,940,,,,
Americas,North America,Canada,Offences related to drug trafficking,2016,Opioids,1121,871,250,,,,
Americas,North America,Canada,Offences related to drug trafficking,2016,Cocaine-type,7459,5960,1499,,,,
Americas,North America,Canada,Offences related to drug trafficking,2016,ATS,2281,1724,557,,,,
Americas,North America,Canada,Offences related to drug trafficking,2016,Other miscellaneous,3573,2751,822,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,All illicit drugs,24377,21599,2778,,22388,1989,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,Cannabis-type,17548,15424,2124,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,Cocaine-type,6899,6250,649,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,ATS,8,6,2,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,Hallucinogens,19,19,0,,,,
